Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0593589	1.82073e-07	19352	326018
1/delta	0.00460598	1.09658e-09	19346.5	4.20031e+06
nu	0.0432817	1.03068e-08	181755	4.19934e+06
p12.A11	0.00581151	3.26571e-08	1034.19	177956
p12.E2	0.0995925	8.12007e-07	12215	122650
p12.F2	0.00395978	2.18577e-08	717.358	181161
p12.G7	0.0800518	8.58447e-07	7464.98	93251.8
p13.C1	0.0097066	5.6761e-08	1659.91	171008
p13.D10	0.0978442	8.25222e-07	11601.1	118567
p13.F3	0.10545	8.52036e-07	13050.8	123763
p20.D4	0.00246596	1.34617e-08	451.723	183183
p20.F10	0.00656562	3.84441e-08	1121.3	170783
p20.G9	0.00400637	2.21009e-08	726.258	181276
p21.A8	0.00597666	3.41589e-08	1045.71	174966
p21.E3	0.0110174	6.79335e-08	1786.78	162179
p21.F1	0.0111151	7.26371e-08	1700.87	153023
p21.F9	0.00628202	3.56628e-08	1106.58	176151
p22.A8	0.0114424	6.76922e-08	1934.17	169036
p22.B5	0.010936	6.45866e-08	1851.71	169323
p22.C1	0.0955116	8.09658e-07	11267.1	117965
p22.D1	0.00275511	1.50625e-08	503.943	182912
p22.D4	0.0111419	6.54332e-08	1897.24	170279
p23.A3	0.111939	9.55741e-07	13110.6	117123
p23.B8	0.0103231	6.07327e-08	1754.67	169975
p24.B5	0.0845765	7.25933e-07	9853.79	116507
p24.H2	0.0888105	6.62951e-07	11897.3	133962
p25.A12	0.0104476	6.07735e-08	1796.04	171910
p25.C11	0.00178061	7.08598e-08	44.7444	25128.7
p25.D2	2.13599e-05	1.14514e-10	3.9842	186527
p26.B7	0.0806922	7.08103e-07	9195.31	113955
p26.D6	0.00987669	5.71926e-08	1705.62	172692
p26.E7	0.0122622	7.47703e-08	2010.96	163998
p27.D6	0.0884692	8.12624e-07	9631.52	108869
p27.F2	0.0994469	7.49609e-07	13193.1	132665
p3.A3	1.06958e-05	5.73415e-11	1.99506	186528
p3.F8	0.0131211	2.56536e-07	671.104	51147
p3.G9	0.100007	1.00191e-06	9982.42	99816.8
p4.A6	1.06839e-05	5.72779e-11	1.99284	186527
p4.D2	0.0955559	7.70572e-07	11849.6	124007
p4.E5	0.00962684	5.58955e-08	1658.03	172229
p4.E6	0.00694528	3.8498e-08	1252.97	180406
p5.C1	0.00627613	3.84266e-08	1025.07	163328
