Node	Beg	End
p12.E2	2034	3530
p12.E2	7299	8581
p12.E2	8876	10828
p12.E2	14250	14827
p12.E2	18138	19947
p12.E2	23210	23663
p12.E2	26138	26499
p12.E2	29537	30196
p12.E2	31475	33002
p12.E2	35233	36815
p12.E2	37288	37858
p12.E2	60447	60760
p12.E2	61797	62390
p12.E2	63648	64222
p12.E2	72961	73907
p12.E2	75519	77057
p12.E2	81866	82577
p12.E2	83748	84809
p12.E2	90336	90843
p12.E2	91025	91837
p12.E2	92499	93376
p12.E2	94237	94539
p12.E2	98166	98565
p12.E2	99465	100714
p12.E2	110308	110753
p12.E2	113489	113977
p12.E2	115591	115907
p12.E2	118478	118902
p12.E2	123694	124080
p12.E2	128166	128635
p12.E2	135276	135840
p12.E2	141706	142696
p12.E2	145776	146953
p12.E2	159625	160117
p12.E2	160685	161193
p12.E2	166843	168228
p12.E2	170166	170541
p12.F2	134839	134933
p12.G7	294	4248
p12.G7	5892	6362
p12.G7	11533	13460
p12.G7	14097	15301
p12.G7	19427	21595
p12.G7	25961	28240
p12.G7	28814	31957
p12.G7	33100	33714
p12.G7	35498	38996
p12.G7	40547	41482
p12.G7	42204	43978
p12.G7	44770	47875
p12.G7	48042	51130
p12.G7	51840	52755
p12.G7	53388	55699
p12.G7	56644	59409
p12.G7	60081	60511
p12.G7	64629	65165
p12.G7	70196	71063
p12.G7	71431	71941
p12.G7	72956	73657
p12.G7	79896	81253
p12.G7	81898	85705
p12.G7	86510	88548
p12.G7	90638	93639
p12.G7	98513	99105
p12.G7	100872	102252
p12.G7	103253	105042
p12.G7	106539	108333
p12.G7	109742	110886
p12.G7	111830	113551
p12.G7	116887	118085
p12.G7	118844	120083
p12.G7	121174	121760
p12.G7	123007	130557
p12.G7	133980	134838
p12.G7	136050	138073
p12.G7	141416	147511
p12.G7	148951	150833
p12.G7	151708	153005
p12.G7	154427	154895
p12.G7	158601	159751
p12.G7	161941	163508
p12.G7	164165	165088
p12.G7	165674	166453
p12.G7	167618	168490
p12.G7	169387	170291
p12.G7	170488	171072
p12.G7	172535	173230
p12.G7	173647	175063
p13.C1	2696	3144
p13.C1	5083	5353
p13.C1	152521	153314
p13.C1	171578	171952
p13.C1	175532	175886
p13.D10	1	479
p13.D10	3275	4813
p13.D10	6391	7076
p13.D10	9390	10046
p13.D10	13671	14658
p13.D10	14823	15574
p13.D10	19065	20205
p13.D10	22242	23065
p13.D10	25912	26284
p13.D10	27897	28322
p13.D10	36640	37280
p13.D10	38692	39331
p13.D10	41394	41657
p13.D10	41808	42954
p13.D10	45839	46157
p13.D10	57886	58714
p13.D10	70242	71235
p13.D10	76743	77646
p13.D10	80289	80755
p13.D10	82255	82858
p13.D10	85456	86065
p13.D10	90320	90859
p13.D10	95729	96774
p13.D10	97176	97549
p13.D10	100093	100514
p13.D10	102038	102485
p13.D10	107337	108379
p13.D10	111176	113920
p13.D10	114507	114862
p13.D10	120898	121806
p13.D10	129430	130276
p13.D10	132979	133712
p13.D10	138027	138584
p13.D10	141806	142462
p13.D10	149199	149770
p13.D10	155159	155642
p13.D10	157749	158275
p13.D10	160170	160475
p13.D10	162717	164424
p13.D10	166944	167581
p13.D10	168843	169477
p13.D10	170835	171392
p13.D10	174583	175271
p13.F3	816	1615
p13.F3	2399	2716
p13.F3	5843	6325
p13.F3	6511	7379
p13.F3	7894	9153
p13.F3	12211	13155
p13.F3	22231	23824
p13.F3	24073	24734
p13.F3	31144	31939
p13.F3	41128	41613
p13.F3	43742	44211
p13.F3	49295	49731
p13.F3	50587	51343
p13.F3	53416	53783
p13.F3	60532	60771
p13.F3	61390	61732
p13.F3	63025	63571
p13.F3	76990	78380
p13.F3	84412	84838
p13.F3	91279	91589
p13.F3	97354	97813
p13.F3	98134	99546
p13.F3	100114	100428
p13.F3	102103	102791
p13.F3	103640	104324
p13.F3	105311	106829
p13.F3	107750	108306
p13.F3	109159	110295
p13.F3	110855	111325
p13.F3	111480	111855
p13.F3	113268	113555
p13.F3	113848	114492
p13.F3	116443	118453
p13.F3	124712	125869
p13.F3	126927	127190
p13.F3	131623	132035
p13.F3	132932	133602
p13.F3	133941	135170
p13.F3	139645	141298
p13.F3	141690	141995
p13.F3	151108	153222
p13.F3	162391	162797
p13.F3	163146	163558
p13.F3	165809	166273
p13.F3	168604	169249
p13.F3	169568	169737
p13.F3	170551	171198
p20.D4	43389	43836
p20.F10	42436	43029
p20.F10	48560	48824
p20.F10	56558	56634
p20.F10	92179	92406
p20.F10	167261	167615
p20.G9	5473	5619
p20.G9	119741	119847
p21.A8	43981	44027
p21.A8	56453	56581
p21.A8	66763	67136
p21.A8	139227	139333
p21.A8	155847	156454
p21.E3	2662	4139
p21.E3	5171	6185
p21.E3	152237	152786
p21.E3	153768	154340
p21.F1	5239	5773
p21.F1	50575	51849
p21.F1	62383	65331
p21.F1	74242	74689
p21.F1	126050	127073
p21.F1	142928	143704
p21.F9	41569	41829
p21.F9	114214	114611
p21.F9	125512	125703
p21.F9	166404	166559
p22.A8	152146	152798
p22.B5	152481	152794
p22.C1	1	466
p22.C1	3206	3716
p22.C1	3769	4800
p22.C1	6013	7159
p22.C1	9339	9824
p22.C1	13060	14586
p22.C1	21033	21545
p22.C1	22056	23268
p22.C1	25222	26383
p22.C1	27016	28890
p22.C1	32903	35012
p22.C1	46463	47205
p22.C1	51457	52060
p22.C1	57893	58194
p22.C1	59431	59728
p22.C1	60763	61493
